ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
228,BU03610104,,      1814
229,BU03610105,510,      1815
230,BU03610106,546,      1815
231,BU03610107,462,      1815
232,BU03610108,281,      1815
233,BU03610109,478,      1814
234,WK036102  ,374,         .
235,BU03610200,403,      1823
236,BU03610201,387,      1829
237,BU03610202,436,      1829
238,BU03610203,340,      1821
239,BU03610204,241,      1823
240,BU03610205,373,      1823
241,BU03610206,304,      1823
242,BU03610208,577,      1822
243,BU03610209,408,      1822
244,WK036103  ,268,         .
245,BU03610300,294,      1813
246,BU03610301,292,      1813
247,BU03610302,223,      1813
248,BU03610303,284,      1813
249,BU03610308,,      1812
250,BU03610309,,      1812
251,WK036104  ,321,         .
252,BU03610400,267,      1816
253,BU03610401,282,      1816
254,BU03610402,372,      1816
255,BU03610403,327,      1817
256,BU03610404,449,      1817
257,BU03610409,651,      1817
258,WK036105  ,305,         .
259,BU03610500,321,      1824
260,BU03610501,207,      1824
261,BU03610502,333,      1824
262,BU03610503,285,      1824
263,WK036106  ,284,         .
264,BU03610600,315,      1825
265,BU03610601,284,      1825
266,BU03610602,294,      1826
267,BU03610603,304,      1826
268,BU03610604,223,      1825
269,WK036107  ,325,         .
270,BU03610700,341,      1827
271,BU03610701,278,      1827
272,BU03610702,347,      1831
273,BU03610703,322,      1827
274,BU03610704,350,      1827
275,BU03610709,,      1831
276,WK036108  ,339,         .
277,BU03610800,319,      1811
278,BU03610801,361,      1811
279,BU03610802,309,      1815
280,BU03610803,458,      1823
281,WK036109  ,443,         .
282,BU03610900,524,      1842
283,BU03610901,582,      1646
284,BU03610902,408,      1841
285,BU03610903,379,      1636
286,BU03610904,508,      1846
287,BU03610905,559,      1844
288,BU03610906,489,      1843
289,WK036110  ,448,         .
290,BU03611000,803,      1485
291,BU03611001,474,      1486
292,BU03611002,496,      1484
293,BU03611003,420,      1483
294,BU03611004,364,      1487
295,BU03611005,604,      1488
296,BU03611006,539,      1536
297,WK036111  ,444,         .
298,BU03611100,420,      1822
299,BU03611101,493,      1822
300,GM0141    ,272,         .
301,WK014110  ,229,         .
302,BU01411000,249,      7607
303,BU01411001,238,      7607
304,BU01411002,208,      7607
305,BU01411003,189,      7607
306,WK014111  ,215,         .
307,BU01411100,197,      7601
308,BU01411101,285,      7601
309,BU01411102,199,      7601
310,BU01411103,204,      7601
311,BU01411104,178,      7601
312,BU01411105,,      7601
313,BU01411109,,      7601
314,WK014112  ,302,         .
315,BU01411200,267,      7602
316,BU01411201,337,      7602
317,BU01411202,229,      7602
318,BU01411203,376,      7602
319,BU01411204,362,      7602
320,BU01411205,,      7602
321,BU01411206,306,      7602
322,BU01411209,560,      7602
323,WK014113  ,336,         .
324,BU01411300,295,      7603
325,BU01411301,534,      7603
326,BU01411302,218,      7603
327,BU01411303,182,      7603
328,BU01411304,725,      7603
329,BU01411305,649,      7608
330,BU01411309,610,      7608
331,WK014114  ,233,         .
332,BU01411400,345,      7604
333,BU01411401,,      7604
334,BU01411402,190,      7604
335,BU01411403,212,      7604
336,BU01411404,382,      7604
337,BU01411405,191,      7604
338,BU01411406,205,      7604
339,BU01411409,462,      7604
340,WK014115  ,181,         .
341,BU01411500,184,      7605
342,BU01411501,169,      7605
343,BU01411502,203,      7605
344,WK014116  ,196,         .
345,BU01411600,184,      7606
346,BU01411601,180,      7606
347,BU01411602,198,      7606
348,BU01411603,191,      7606
349,BU01411604,220,      7606
350,BU01411605,180,      7606
351,WK014117  ,364,         .
352,BU01411700,278,      7607
353,BU01411701,252,      7607
354,BU01411702,557,      7607
355,BU01411703,496,      7607
356,BU01411709,504,      7607
357,WK014118  ,258,         .
358,BU01411800,281,      7608
359,BU01411801,177,      7608
360,BU01411802,220,      7608
361,BU01411803,206,      7608
362,BU01411804,331,      7608
363,BU01411805,312,      7608
364,BU01411806,,      7608
365,WK014119  ,322,         .
366,BU01411900,559,      7609
367,BU01411901,256,      7609
368,BU01411902,212,      7609
369,BU01411903,214,      7609
